景点中文名称,景点英文名称,攻略数量,点评数量,景点地点,景点排名,驴友数量,景点简介
宽窄巷子,Kuanzhaixiangzi Alleys,2142,12757,成都,2,68%,喝茶泡吧、掏掏耳朵，吃吃火锅，感受成都人幸福的悠闲生活。
锦里古街,Jinli Street,1942,14433,成都,3,61%,成都最古老、最热闹繁华的商业街区，能品尝到众多的当地美食。
武侯祠,Wuhou Shrine,2346,7967,成都,5,46%,刘备和诸葛亮的合祀的祠宇，中国唯一的君臣合祀祠宇。
成都大熊猫繁育研究基地,Chengdu Research Base of Giant Panda Breeding,2451,14021,成都,1,38%,成都周边观赏大熊猫最便利的地方，很多萌萌的大熊猫等着你哦。
杜甫草堂,Chengdu Du Fu Thatched Cottage Museum,1542,4896,成都,4,38%,唐代大诗人杜甫当年流离成都时的寓所，收藏有书法“四绝”。
成都市人民公园,Chengdu People's Park,249,950,成都,9,17%,市中心的街心公园，喝茶发呆晒太阳，感受随意轻松的安逸生活。
文殊院,Wenshu Temple,190,1178,成都,10,29%,院内供奉有300多尊佛像，材质不同，形态各异；院内的素斋也很赞。
青羊宫,Qingyang Taoist Temple,102,917,成都,12,23%,成都现存最古老的道观，敬香祈福，感受玄妙的道家气息。
大慈寺,Daci Temple,98,397,成都,42,1%,闹市区的古寺，有1600年的历史，玄奘法师在这里受戒、讲学。
金沙遗址博物馆,Jinsha Site Museum,86,2517,成都,16,10%,商周时代遗址，出土的“太阳神鸟”饰品，是中国文化遗产的标志。
东郊记忆,Eastern Suburb Memory,81,446,成都,24,1%,工业区改建的景区，文艺青年的最爱，还有李宇春名人的手模墙。
四川大学(望江校区),Sichuan University,81,353,成都,25,4%,望江校区的行政楼由梁思成设计；校区的天使林，是观鸟的好地方。
天府广场,Tianfu Square,61,362,成都,552,0%,成都的中心广场，城市的地标和象征，还是两条地铁线的换乘中心。
都江堰景区,Dujiangyan Scenic Spot,58,13977,都江堰,2,28%,中国目前保存最完整的古代水利工程。
黄龙溪,Huanglongxi Town,49,2493,成都,1,3%,漫步闲逛，感受古镇的悠闲。每年正月的烧火龙活动热闹非凡。
四川博物院,Sichuan Museum,49,580,成都,19,7%,国内收藏张大千作品最丰富的博物馆，尤其是大师的临摹敦煌壁画。
浣花溪公园,Huanhuaxi Park,46,471,成都,14,3%,成都市区内面积最大的免费公园，距离杜甫草堂不远。
青城山,Mount Qingcheng,42,8290,都江堰,1,17%,“青城天下幽”，这里是道教的发源地，山间有多处道观可探寻。
九眼桥,Jiu Yan Qiao,39,388,成都,2,1%,漂亮的廊桥，周边是热闹的酒吧一条街。
奎星楼街,Kuixinglou Street,34,99,成都,39,0%,海滨城市的夜景，灯火辉煌，如梦如幻。
文殊坊,Wen Shu Fun,30,212,成都,21,5%,湿地上的芦苇，随风摇曳，生态丰富。
小通巷,Xiaotong Alley,29,133,成都,37,5%,秋季的登山，攀登高峰，俯瞰世界。
洛带古镇,Luodai Ancient Town,21,649,成都,1,1%,成都近郊的客家古镇，吃伤心凉粉，泡茶馆，感受一下客家风俗。
南宝山旅游度假区,Nanbao Mountain,20,319,邛崃,5,0%,夏夜的星空，繁星点点，如梦如幻。
百工堰公园,Baigongyan Park,20,62,成都,237,0%,蓉城第一湖，来这里划船游山，再去农家乐吃吃烧烤。
九里堤公园,Jiulidi Park （South Gate）,20,18,成都,387,0%,夕阳下的河畔，金色的光线，如诗如画。
回龙沟景区,Huilong Ditch,20,15,彭州,3,0%,海边的晨光，海浪轻拍，阳光金灿。
沐沐五花,,20,15,成都,565,0%,春天的花丛，花香袭人，色彩斑斓。
静室堂,,20,15,成都,640,0%,雨中的城市，街道湿润，清新的空气。
西河(元通镇聚源村段),,20,15,崇州,977,0%,冬季的林道，雪花飘飘，寒风凛冽。
荷兰风车,,20,15,成都,957,0%,春天的田野，绿草如茵，花开满野。
西蜀禅韵,,20,15,彭州,912,0%,海岛上的椰影，摇曳生姿，风情万种。
麻神庵1店,,20,15,成都,346,0%,夏夜的荷塘，荷叶田田，荷花盛开。
高峰寺,,20,15,大邑,665,0%,湖泊的早晨，轻雾缭绕，宁静致远。
山王庙,,20,15,金堂,791,0%,峡谷之中，回声悠长，仿佛在诉说着古老的传说。
碰碰车地带,,20,15,成都,377,0%,田野上的风车，高高转动，带动风的流动。
流怀亭,,20,14,成都,318,0%,夏夜的星空，繁星点点，如梦如幻。
满心叠,,20,14,成都,889,0%,山顶的云海，云蒸霞蔚，如在仙境。
前言,,20,14,大邑,503,0%,野外的篝火，照亮了夜空，温暖伴随。
黄龙溪展馆,,20,14,成都,967,0%,山间的小溪，潺潺流水，清澈见底。
玫瑰花园,,20,14,成都,898,0%,河流的倒影，如同绘画，美不胜收。
鉴珍台,,20,13,成都,665,0%,沙滩上的日落，大海和夕阳同辉，景色迷人。
迷石森林,,20,13,成都,705,0%,秋日的湖边，湖面波光粼粼，风景如画。
燃灯古佛殿,,20,13,成都,335,0%,山间的小溪，潺潺流水，清澈见底。
金堂云顶石城-露营地,,20,13,金堂,416,0%,秋高气爽的山间，风清气朗，心旷神怡。
高墩寺,,20,13,成都,819,0%,湖面的夜色，月光倒映，静谧优美。
五观堂,,20,13,成都,911,0%,河畔的夜晚，月光下的河流，静谧而美丽。
杏花谷游乐区,,20,12,成都,763,0%,春日花开，百花齐放，香气扑鼻。
快乐嘻哈中老年社区文娱,,20,12,成都,356,0%,冬季的滑雪，白雪皑皑的山坡，速度与激情。
健康知识走廊,,20,12,成都,980,0%,沙漠的日落，天边一抹残阳，如火如血。
仙女山,,20,11,成都,517,0%,湖光山色，风景如画，美不胜收。
八仙观,,20,11,崇州,568,0%,日出东海，晚归山色，美不胜收。
圣修堂,,20,11,成都,553,0%,高山上的日落，晚霞如火，壮丽无比。
旋转天梯,,20,11,成都,959,0%,沙漠的黄昏，大地与天空同色，壮观迷人。
西岭雪山碑记,,20,11,大邑,997,0%,山谷间的回声，如同古老的歌谣，回荡在空中。
长松寺石榴园,,20,11,成都,423,0%,雨后的彩虹，横跨天际，绚烂夺目。
龙光寺,,20,11,大邑,895,0%,山间的小溪，潺潺流水，清澈见底。
知春亭,,20,10,成都,753,0%,公园的傍晚，散步的人们，一天的结束。
银厂沟,,20,10,邛崃,808,0%,冬天的湖面，结冰坚硬，如同镜面。
花轿,,20,10,大邑,321,0%,雪后的松林，静谧祥和，银装素裹。
四川军民抗战纪实陈列馆,,20,10,成都,708,0%,夏夜的荷塘，荷叶田田，荷花盛开。
自助图书馆(金彭西路),,20,10,彭州,666,0%,高山上的日落，晚霞如火，壮丽无比。
供天阁,,20,10,彭州,303,0%,热带雨林的深处，充满神秘，生命力旺盛。
摩柯湖,,20,9,成都,748,0%,热带海岛的早晨，海风习习，椰风海韵。
夜猫子城市露营基地,,20,9,成都,943,0%,夜晚的灯塔，发出的光芒，引导着远航者。
红军亭,,20,9,邛崃,968,0%,海滨的日出，海平面上升起的太阳，光彩夺目。
彭州市图书馆儿童友好图书馆,,20,9,彭州,386,0%,滨海的旅游小镇，悠闲的生活，海的味道。
小磨房,,20,8,邛崃,6,0%,掩映在一片苍林翠木中，环境清幽、古朴。青青流淌的金龙河水经断裂的河床层层叠流，形成了30多米宽长湖瀑布奇观。古老的小磨房栖息岩畔溪旁，瓦顶圆柱，绳架石磨，磨扇悠悠转动，槽中溪流潺潺，磨下跌水成滩，遍滩水泡如同洒落的珍珠，因而得名珍珠…
王安石雕塑,,20,8,成都,965,0%,清晨的田野上，露珠闪烁，一派生机盎然。
中国艺库艺术生活体验馆,,20,8,成都,572,0%,海边的沙滩，金黄色的沙粒，在阳光下闪耀。
金沙遗址博物馆-文物保护中心,,20,8,成都,436,0%,日出东海，晚归山色，美不胜收。
青城山味江陵园,,20,7,崇州,737,0%,冬日的雪景，白雪皑皑，银装素裹。
飞轮风谷机,,20,7,大邑,352,0%,雪后的公园，银装素裹，纯净美丽。
川主庙,,20,7,金堂,605,0%,秋日的阳光，温暖而柔和，金黄色的光线洒在大地上。
古蜀船棺合葬墓,,20,6,成都,19,0%,"成都古蜀船棺合葬墓位于四川省成都市商业街，为东周(公元前770年-公元前256)时期的一处多棺合葬的土坑竖穴墓。
墓坑长约30米，宽约21米，面积约600平方米。墓坑内现存14具船棺、独木棺葬具，其中大型葬具4具，长达10米以上，最大直径1．7米，其余为…"
营花照壁,,20,6,成都,467,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
草玄亭,,20,6,成都,409,0%,雪后的松林，静谧祥和，银装素裹。
梦幻海洋馆,,20,6,成都,730,0%,山间的小溪，潺潺流水，清澈见底。
完美艺术展馆,,20,6,成都,707,0%,夜晚的星空，闪烁的星星，璀璨如梦。
杰瑞雕塑,,20,6,邛崃,341,0%,远行的船只，在海的尽头消失，留下一片梦幻。
平乐古镇漂流,,20,5,邛崃,24,0%,可以再漂流的同时体验多元的民族文化、浓郁的民俗风情。
永平堂,,20,5,成都,655,0%,雨后的山谷，清新脱俗，空气湿润。
青白江凤凰灯会展,,20,5,成都,577,0%,湖泊的早晨，轻雾缭绕，宁静致远。
双流机场大熊猫,,20,5,成都,961,0%,海边的船只，迎着晨光启航，希望的旅程。
畅廖阁,,20,4,成都,869,0%,山间的早晨，清新的空气，鸟语花香。
照壁,,20,4,成都,906,0%,晨雾缭绕，山间如同仙境一般。
毛毛岛(Furry land)宠物公园,,20,4,成都,970,0%,深秋时节，枫叶红了，像是山林间燃起的火焰。
成都市金牛区军队离退休干部服务管理中心茶店子服务站,,20,3,成都,482,0%,古城的黄昏，历史的痕迹，沉淀了岁月的静好。
陈家大院,,20,3,崇州,830,0%,秋天的森林，五彩缤纷，美不胜收。
月上桥,,20,3,成都,688,0%,湖边的清晨，水雾弥漫，如梦如幻。
黄龙溪-美庐,,20,3,成都,909,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
金沙遗址博物馆陈列馆-第四展厅千载遗珍,,20,3,成都,453,0%,炎热的午后，阵阵凉风，带来丝丝凉意。
杜鹃城遗址,Dujuancheng Ruins,20,2,都江堰,371,0%,深林之中，古木参天，生态丰富。
成都动物园-浣熊,,20,2,成都,675,0%,沙漠的黄昏，大地与天空同色，壮观迷人。
水欢欢,,20,2,成都,585,0%,晴朗的天空下，白云朵朵，如棉花糖。
环卫工人休息室,,20,2,成都,332,0%,沙滩上的晚霞，晚霞映红了整个天空，美轮美奂。
成都市双流区追蝶记蝴蝶标本博物馆,,20,2,成都,932,0%,林间小径，鲜花簇拥，步入其中如入花海。
躬耕园,,20,2,邛崃,801,0%,炎热的沙漠，广袤无垠，生命的顽强。
玉兔池,,20,1,成都,595,0%,草原上的野花开遍了每一个角落，如同大地的织锦。
怀远镇佛祖寺,,20,1,崇州,527,0%,晨曦的山峦，阳光洒满山间，光影交错。
大地魂,,20,1,金堂,894,0%,雨中的城市，清新而湿润，洗净尘埃。
天兴军工文化园,,20,1,成都,587,0%,沙漠中的绿洲，生机勃勃，绿意盎然。
猛龙出击互动墙,,20,1,成都,841,0%,雨中的城市，街道映着灯光，梦幻般的美。
游凤园,,20,1,成都,569,0%,雨中的街道，雨滴跳跃，清新洗净。
双凤桥,,20,1,成都,763,0%,小道蜿蜒，穿过一片片田野，每一步都是风景。
小月潭,,20,1,成都,910,0%,雪后山村，银装素裹，一片宁静。
大地魂,,20,1,成都,985,0%,秋高气爽的山间，风清气朗，心旷神怡。
刘氏庄园博物馆,Liu's Manor Museum,19,531,大邑,10,0%,国内保存最完好的地主庄园，庄内文物和泥塑“收租院”值得一看。
桂湖公园,Xindu Guihu Park,19,125,成都,362,0%,夜晚的城市，高楼大厦，灯火通明。
兰桂坊,Lan Kwai Fong Chengdu,19,109,成都,8,1%,成都夜生活的一个地标区域，充满国际范的酒吧街。。
彭州园,Pengzhou Garden,19,65,彭州,2,0%,春天的花丛，花香袭人，色彩斑斓。
国学大家王叔岷雕像,,19,15,成都,468,0%,雨后的山谷，清新脱俗，空气湿润。
天固真空,,19,15,崇州,464,0%,秋日的背包旅行，发现未知的美，丰富旅程。
龙泉驿地区店,,19,15,成都,490,0%,山谷间的回声，如同古老的歌谣，回荡在空中。
揭事堂,,19,15,成都,425,0%,热带海岛的早晨，海风习习，椰风海韵。
根艺展组委会,,19,15,成都,814,0%,草丛中的露水，晶莹剔透，清新自然。
东安阁,,19,15,成都,895,0%,山间的瀑布，水珠飞溅，清凉一夏。
踏水桥红枫林,,19,15,成都,444,0%,公园的秋日，落叶纷飞，金黄一片。
邛崃美术馆,,19,14,邛崃,742,0%,高山上的日落，晚霞如火，壮丽无比。
大地魂,,19,14,成都,878,0%,雨后的林间，空气清新，山色更翠。
澜木社区历程馆,,19,14,成都,364,0%,雨中的城市，街道湿润，清新的空气。
天府源,,19,14,都江堰,774,0%,雨后的彩虹，桥接天地，彩色的希望。
八仙亭,,19,14,邛崃,928,0%,秋天的田野，稻谷泛黄，金色的波浪。
白鹿中学-地震陡坎,,19,14,彭州,813,0%,晨雾缭绕，山间如同仙境一般。
龙门刨床模型,,19,14,成都,337,0%,秋高气爽的山间，风清气朗，心旷神怡。
转转(龙泉吾悦店),,19,13,成都,969,0%,雨后的林间，空气清新，山色更翠。
博鹤房车俱乐部,,19,13,成都,391,0%,炎热的沙漠，广袤无垠，生命的顽强。
赵渭滨烈士之墓,,19,13,成都,802,0%,夜晚的城市，高楼大厦，灯火通明。
小火车记忆公园,,19,13,彭州,789,0%,春天的花丛，花香袭人，色彩斑斓。
望蜀堂美术馆,,19,13,成都,940,0%,夜晚的星空，绚烂夺目，无限遐想。
绣园,,19,13,成都,644,0%,雨后的林间，空气清新，山色更翠。
工程立柱,,19,13,成都,881,0%,寒冷的冬天，温暖的火炉，家的温馨。
五桂四社・小公园,,19,12,成都,371,0%,热带雨林，充满生机，绿色覆盖每一寸土地。
成都慢条斯理文创食玩小院,,19,12,成都,650,0%,海上的日落，天际一片金红，壮丽的景象。
金沙滨河公园-亲水木平台,,19,12,成都,959,0%,秋天的田野，稻谷泛黄，金色的波浪。
兴义羊马河生态绿道,,19,12,成都,781,0%,夜晚的星空，满天星斗，宁静深远。
中国西部国际博览城6展厅,,19,12,成都,645,0%,草丛中的露水，晶莹剔透，清新自然。
长城炮,,19,11,大邑,644,0%,草原上的野花开遍了每一个角落，如同大地的织锦。
出售柏k竹竹梯,,19,11,成都,856,0%,深秋时节，枫叶红了，像是山林间燃起的火焰。
诗歌大道,,19,11,成都,726,0%,夜晚的海滩，海浪拍打，潮声阵阵。
含柳湿地,,19,11,成都,536,0%,雨中的街道，雨滴跳跃，清新洗净。
生生不息雕塑,,19,11,成都,995,0%,雪中的松树，枝头挂满雪花，银白世界。
金融强国馆,,19,11,大邑,456,0%,秋天的田野，稻谷泛黄，金色的波浪。
太极八卦台,,19,11,大邑,740,0%,山谷中的秋色，层林尽染，色彩斑斓。
西岭峡谷漂流,Xiling Canyon Drifting,19,10,大邑,131,0%,秋天的果实，硕果累累，丰收的喜悦。
王玉清浴室,,19,10,大邑,407,0%,春风拂面，花香四溢，满园春色。
愿学堂雕塑,,19,10,大邑,475,0%,冬日的雪景，白雪皑皑，银装素裹。
车耀先纪念馆,,19,10,成都,376,0%,秋天的树林，五彩缤纷，如诗如画。
一方小院,,19,10,成都,770,0%,秋风的午后，微风送爽，落叶飘飘。
日出观景点,,19,10,成都,967,0%,晨曦的山峦，阳光洒满山间，光影交错。
五根树,,19,10,彭州,307,0%,湖光山色，风景如画，美不胜收。
南湖梦幻岛滑翔飞翼,,19,9,成都,800,0%,草地上的野餐，享受自然的馈赠，家人的欢聚。
大梁烧坊,,19,9,邛崃,478,0%,秋日的湖边，湖面波光粼粼，风景如画。
天君寺,,19,9,成都,403,0%,山顶的云海，云蒸霞蔚，如在仙境。
御览舫,,19,9,成都,756,0%,高山的夜晚，繁星点点，宁静致远。
天源雕塑,,19,8,成都,770,0%,滨海的摩天轮，高高在上，俯瞰海景。
专业墓碑批发,,19,8,蒲江,363,0%,秋天的丰收，果实累累，田野一片金黄色。
万惠露营垂钓园,,19,8,成都,480,0%,秋天的森林，五彩缤纷，美不胜收。
万科高线公园星之境,,19,8,成都,436,0%,雨后的彩虹，桥接天地，彩色的希望。
衣冠庙,,19,8,成都,635,0%,森林中的小屋，幽静而安详，远离尘嚣。
陀螺雕塑,,19,8,邛崃,385,0%,冬季的森林，雪花飘落，银装素裹。
白河公园B区-三号桥,,19,8,成都,961,0%,晴天的云朵，轻盈飘逸，变换无穷。
明教寺觉皇殿,,19,7,成都,845,0%,秋天的丰收，果实累累，田野一片金黄色。
89款林肯加长版轿车,,19,7,大邑,945,0%,湖光山色，风景如画，美不胜收。
新都区新都街道红星村便民服务室,,19,7,成都,989,0%,晨雾缭绕，山间如同仙境一般。
春山云霭,,19,7,成都,792,0%,夜晚的星空，满天星斗，宁静深远。
唐王坝牌坊,,19,7,大邑,940,0%,湖面上的划船，轻轻摇曳，平静的水面。
碧山庙,,19,7,金堂,667,0%,秋高气爽的山间，风清气朗，心旷神怡。
杉林湾栈道,,19,7,成都,397,0%,雨后的山谷，清新脱俗，空气湿润。
女人街星河园,,19,6,都江堰,711,0%,春日的公园，花开如海，美不胜收。
鹤山大佛,,19,6,邛崃,740,0%,海边的日落，余晖洒满海面，金光闪闪。
棋如人生-平台景观,,19,6,成都,717,0%,雨中的城市，清新而湿润，洗净尘埃。
樱花园,,19,6,成都,591,0%,沙漠的黄昏，大地与天空同色，壮观迷人。
智慧生存沉浸式体验馆,,19,6,成都,594,0%,秋日的湖边，湖面波光粼粼，风景如画。
鸢歌森林,,19,6,成都,521,0%,夜空中的月亮，皎洁明亮，如冰似玉。
永庆殿,,19,6,成都,512,0%,晨雾中的古桥，宛如通往另一个世界的门户。
草堂木艺馆,,19,6,成都,433,0%,湖面的夜色，月光倒映，静谧优美。
游客诗墙,,19,6,成都,454,0%,夕阳西下，晚霞如火如荼地燃烧。
泡桐树小学西区-城市学校少年宫,,19,6,成都,579,0%,清晨的露水闪烁着光芒，如同镶嵌在绿叶上的珍珠。
成都金鸡沟,,19,5,邛崃,23,0%,竹林茂盛，空气清新。
禅舫,,19,5,成都,470,0%,海滨城市的夜景，灯火辉煌，如梦如幻。
文君故里牌坊,,19,5,邛崃,798,0%,露天音乐会，音乐与自然的融合，激动人心。
怡心亭,,19,5,成都,310,0%,微风拂过，带来了沁人心脾的花香，令人陶醉。
致强儿童成长中心,,19,5,成都,546,0%,晨光中的湖畔，湖面波光粼粼，宁静致远。
青白江遗址公园,,19,5,成都,396,0%,夜晚的星空，绚烂夺目，无限遐想。
中海体育公园,,19,4,成都,259,0%,中海体育公园面积广阔，里面有篮球场、网球场、供人健身的户外器材等体育设施，可以为附近居民提供搞露天烧烤。
青城前山景区-观光车终点站,,19,4,都江堰,584,0%,秋日的湖边，湖面波光粼粼，风景如画。
蝴蝶吟,,19,4,金堂,998,0%,雪后的松林，静谧祥和，银装素裹。
叠檐如故,,19,4,成都,826,0%,秋天的树林，五彩缤纷，如诗如画。
华严寺,,19,4,金堂,339,0%,满天的云彩，变幻莫测，如同大自然的画笔。
萤火虫观赏点,,19,4,邛崃,714,0%,深秋时节，枫叶红了，像是山林间燃起的火焰。
江安河生态公园,,19,4,成都,862,0%,晴朗的夜晚，满天星斗，璀璨夺目。
猪坚强遗址,,19,4,彭州,869,0%,炎热的沙漠，广袤无垠，生命的顽强。
生态湖,,19,3,成都,336,0%,沙漠中的绿洲，如同沙海中的明珠，珍贵而美丽。
刘文辉卧室,,19,3,大邑,854,0%,山顶上的草原，风吹草低见牛羊，广阔无垠。
穿名堂,,19,3,大邑,777,0%,山顶的云海，云蒸霞蔚，如在仙境。
白塔寺-斋堂,,19,3,崇州,462,0%,山间的早晨，清新的空气，鸟语花香。
易道乾坤,,19,3,成都,900,0%,雨后的彩虹，桥接天地，彩色的希望。
理想公社露营地,,19,3,成都,950,0%,丘陵上的风车，随风旋转，景色独特。
奇遇纯正法国普罗雅庭薰衣草花田,,19,3,成都,769,0%,旅途中的随机小镇，充满了本地色彩，别具一格。
迷你荷塘,,19,2,成都,615,0%,寒冬腊月，白雪皑皑，覆盖了大地。
西岭雪山景区-日出观景平台,,19,2,大邑,451,0%,冬季的雪景，银装素裹，世界变得宁静。
王叔岷展览馆,,19,1,成都,366,0%,湖面的夜色，月光倒映，静谧优美。
四顾乾坤,,19,1,成都,773,0%,霜降时节，白霜覆盖一切，如同银色的世界。
浣花深处,,19,1,成都,392,0%,湖泊的早晨，轻雾缭绕，宁静致远。
四川省社区儿童社会实践活动基地,,19,1,成都,350,0%,冬季的河流，冰封河面，静谧无声。
岷江,,19,1,成都,983,0%,雪后的松林，静谧祥和，银装素裹。
观音寺,,19,1,金堂,389,0%,夏日的泳池，清凉解暑，水中乐趣。
通龙桥,,19,1,成都,742,0%,海边的晚霞，晚霞映红了整个天空，美轮美奂。
同心亭,,19,1,蒲江,749,0%,寒冷的冬天，温暖的火炉，家的温馨。
明仙曹真人之墓,,19,1,都江堰,306,0%,冬季的河流，冰封河面，静谧无声。
成都U37创意仓库,Chengdu U37 Creative Warehouse,18,116,成都,22,0%,夜晚的灯塔，发出的光芒，引导着远航者。
府南河活水公园,"Live-water Park, Chengdu",18,80,成都,125,0%,远方的群山，层层叠叠，笼罩在薄雾中。
怀远镇,Huaiyuan Ancient Town,18,43,崇州,7,0%,1600年历史的古镇，几乎家家都是编织的能工巧匠。
古城遗址,Ancient City Site of Pi County,18,35,成都,2,0%,寒冷的冬天，温暖的火炉，家的温馨。
成都裸眼3D大屏,,18,15,成都,658,0%,平原上的稻田，金黄一片，秋季的收获。
爱心亭,,18,15,成都,869,0%,雨后的林间，空气清新，山色更翠。
桂花苑.半山坡露营地,,18,15,都江堰,626,0%,晴朗的天空下，白云朵朵，如棉花糖。
宝山塔陵园,,18,14,都江堰,721,0%,热带雨林的午后，热气腾腾，生机勃勃。
五福故径,,18,14,成都,578,0%,山间的小溪，潺潺流水，清澈见底。
石像生,,18,14,成都,361,0%,山涧的溪水，清澈见底，泉声叮咚。
鸭小七赶海公园,,18,14,成都,397,0%,热带雨林，充满生机，绿色覆盖每一寸土地。
杰瑞阅读馆,,18,14,成都,917,0%,雪中的松树，枝头挂满雪花，银白世界。
露营融合烧烤集合地,,18,14,都江堰,565,0%,山间的小溪，清澈见底，水声潺潺。
农耕文化陈列室,,18,14,崇州,319,0%,满天的云彩，变幻莫测，如同大自然的画笔。
紫坪埔观景台,,18,14,都江堰,339,0%,沙滩上的晚霞，晚霞映红了整个天空，美轮美奂。
回龙寺,,18,14,大邑,845,0%,小桥流水，人家更显得安详宁静。
林则徐雕塑,,18,13,成都,925,0%,山间的石阶，通往古寺，静谧神圣。
韩愈雕塑,,18,13,成都,860,0%,霜降时分，晶莹的霜花装饰着窗户，美轮美奂。
颠倒艺术馆,,18,13,成都,485,0%,秋高气爽的山间，风清气朗，心旷神怡。
草堂戏剧社,,18,12,成都,340,0%,深秋时节，枫叶红了，像是山林间燃起的火焰。
江渎祠铜像,,18,12,成都,733,0%,霜降时节，白霜覆盖一切，如同银色的世界。
刘备纪念亭,,18,12,成都,496,0%,山间的瀑布，水珠飞溅，清凉一夏。
国家农业公园项目示范区,,18,12,都江堰,618,0%,秋天的树林，五彩缤纷，如诗如画。
世界园艺博览会温江分会场,,18,11,成都,510,0%,公园的傍晚，散步的人们，一天的结束。
青龙岗,,18,11,邛崃,644,0%,湖光山色，风景如画，美不胜收。
戟门,,18,11,崇州,539,0%,秋日的林间小路，落叶铺满，黄金大道。
