景点中文名称,景点英文名称,攻略数量,点评数量,景点地点,景点排名,驴友数量,景点简介
泰安古镇,Tai'an Ancient Town,5,145,都江堰,14,1%,幽静的川西风格古镇，适合休闲避暑，游览青城后山的主要住宿地。
建福宫,Jianfu Palace,5,111,都江堰,44,0%,游览青城山的起点，还有长达394字的长联，被赞为“青城一绝”。
四川大学(望江校区)-博物馆,Sichuan University Museum,5,76,成都,66,1%,西南地区历史最为悠久的博物馆，还有机会在馆内欣赏到皮影戏。
月城湖,Yuecheng Lake,5,69,都江堰,1,0%,青城山脚下的湖泊，景色清幽，还能坐游船游湖。
九峰山风景名胜区,Jiufeng Mountain Scenic Area,5,65,彭州,30,0%,驴友徒步的好地方，日出非常壮丽。
瓮亭公园,Wengting Park (East Gate),5,19,邛崃,17,0%,冬日里的暖阳，温暖如春，驱散寒冷。
紫坪铺水库,Zipingpu Reservoir,5,18,都江堰,27,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
成都大熊猫繁育研究基地-观光车大熊猫魅力剧场站,,5,15,成都,581,0%,春日的樱花，粉嫩花瓣，如云似霞。
温江区政协书画院,,5,15,成都,506,0%,草原上的野花开遍了每一个角落，如同大地的织锦。
飞夺泸定桥,,5,15,邛崃,827,0%,荒野之中，生机勃勃，绿意盎然。
石刻园,,5,15,成都,732,0%,河畔的春天，绿树成荫，鸟语花香。
武侯区天府世家言塾科技,,5,15,成都,634,0%,炎热的夏日，清凉的湖水，泳者的天堂。
大邑县基督教晋原活动点,,5,15,大邑,891,0%,山间的云雾，缥缈间，仿佛仙境。
四川工商学院-图书馆(成都校区),,5,15,成都,994,0%,夜晚的萤火虫，点缀着夏夜，如同地上的星星。
龙王庙,,5,15,金堂,673,0%,滨海的摩天轮，高高在上，俯瞰海景。
国家地理经典影像大展-西南首展,,5,14,成都,634,0%,夜晚的星空，满天星斗，宁静深远。
邛崃南宝山木梯羌寨羌寨风情,,5,14,邛崃,861,0%,秋天的森林，五彩缤纷，美不胜收。
府河(锦江),,5,14,成都,411,0%,沙漠中的绿洲，如同沙海中的明珠，珍贵而美丽。
志行高远,,5,14,成都,769,0%,夜晚的海滩，海浪拍打，潮声阵阵。
麓湖漩涡公园,,5,14,成都,549,0%,秋季的登山，攀登高峰，俯瞰世界。
长安沉吟,,5,14,成都,553,0%,雨中的街道，雨滴跳跃，清新洗净。
漫库(天府红店),,5,14,成都,351,0%,湖边的清晨，水雾弥漫，如梦如幻。
行空航天馆,,5,14,成都,823,0%,河岸的石头，经过水流的冲刷，光滑如镜。
醉杏亭,,5,14,成都,588,0%,雨中的街道，雨滴跳跃，清新洗净。
叠音泉,,5,14,邛崃,498,0%,湖边的清晨，水雾弥漫，如梦如幻。
多肉植物园,,5,14,崇州,736,0%,高峰的岩石，经历风雨的洗礼，坚硬如铁。
平沙落雁文化商业区,,5,13,邛崃,14,0%,“平沙落雁”文化商业区位于邛崃市平乐古镇核心区，占地30亩，建筑面积11000平方米，由三条老式街道及8个院落群组成，采用古老的建筑手法，保存了川西古镇原始风貌。街区内现有主题酒吧、特色茶坊、咖啡西餐屋、中餐酒楼、风情客栈、手工艺品、特色…
时空之外露营美学露营装备租赁新都店,,5,13,成都,485,0%,秋风吹过，落叶满地，金黄一片。
万卷堂阅读馆,,5,13,成都,557,0%,林间小路，光影斑驳，仿佛通往未知的世界。
24小时自助图书馆,,5,13,成都,352,0%,晨跑的小道，清新的空气，充满活力。
冬藏雕塑,,5,13,成都,488,0%,瀑布飞流直下，水雾飘渺，景色壮观。
越野卡丁车,,5,13,蒲江,385,0%,寒冬腊月，白雪皑皑，覆盖了大地。
2024年成都世界园艺博览会,,5,12,成都,547,0%,峭壁上的攀岩者，挑战自我，勇气可嘉。
月光湖,,5,12,成都,843,0%,雪后的公园，银装素裹，纯净美丽。
大邑横山岗红军无名烈士纪念馆,,5,12,大邑,568,0%,沙漠中的绿洲，生机勃勃，绿意盎然。
MINI相长有方阅读馆,,5,12,成都,832,0%,沙漠中的绿洲，生机勃勃，绿意盎然。
成都飞机水乐园,,5,11,成都,838,0%,雪后的公园，银装素裹，纯净美丽。
国家税务局四川省税务局机关老干部活动阵地,,5,11,成都,915,0%,潺潺的溪流，穿过森林，流向远方的海洋。
城市阅读微空间,,5,11,成都,389,0%,冬季的松林，雪花覆盖，一片银白。
雕虎水泊,,5,11,邛崃,778,0%,冬天的湖面，结冰坚硬，如同镜面。
超线个园,,5,10,成都,604,0%,春日的公园，花开如海，美不胜收。
杜陵春,,5,10,成都,965,0%,海上的日落，天际一片金红，壮丽的景象。
涧川水景,,5,10,成都,699,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
福洪镇综合文化馆,,5,10,成都,969,0%,冬日的雪景，白雪皑皑，银装素裹。
来宝沱生态湿地公园,,5,10,金堂,567,0%,高山上的日落，晚霞如火，壮丽无比。
双流区怡心街道协和图书分馆,,5,10,成都,661,0%,山顶的日出，晨光破晓，希望的开始。
观音殿,,5,10,成都,329,0%,海边的船只，迎着晨光启航，希望的旅程。
赏湖榭,,5,10,成都,438,0%,海上的日出，光芒万丈，希望的开始。
中国民主同盟成都史实陈列馆,,5,9,成都,515,0%,秋日的果园，硕果累累，香气四溢。
丁木沟大峡谷,,5,9,大邑,948,0%,岩石上的苔藓，岁月的痕迹，讲述无声的故事。
天星岛,,5,9,成都,508,0%,夜空中的月亮，皎洁明亮，如冰似玉。
茶花谷,,5,9,彭州,541,0%,密林深处的小溪，静静流淌，清澈见底。
鲸龙公园,,5,9,成都,953,0%,海边的沙滩，金黄色的沙粒，在阳光下闪耀。
怪兽派美术馆(中海国际店),,5,9,成都,675,0%,雨后的林间，空气清新，山色更翠。
成飞航空主题教育基地-天翅3无人机系统模型,,5,9,成都,804,0%,冬季的河流，冰封河面，静谧无声。
双流区彭镇燃灯社区多功能厅老年大学活动室,,5,9,成都,508,0%,山谷中的秋色，一片金黄，美不胜收。
百鸟苑-观鸟台,,5,8,成都,752,0%,梦幻的海岛，碧海蓝天，美不胜收。
杨仲华住房,,5,8,大邑,524,0%,繁花似锦的春天，生机勃勃，如诗如画。
桃坪垭口,,5,8,都江堰,878,0%,夏夜星空，繁星点点，如梦如幻。
九龙巨物塘,,5,8,成都,830,0%,山川壮丽，江河绵延，自然的伟力展露无遗。
熙玉村・缤纷梨园,,5,8,彭州,435,0%,高山流水，回荡着清脆的琴声，悠扬入耳。
家政职工之家,,5,7,成都,849,0%,夏日的泳池，清凉解暑，水中乐趣。
敦睦堂,,5,7,成都,566,0%,山谷间的回声，如同古老的歌谣，回荡在空中。
铁炉沟,Tielugou,5,6,邛崃,991,0%,山谷中的秋色，层林尽染，色彩斑斓。
空中溜索-下站,,5,6,大邑,443,0%,秋天的田野，稻谷泛黄，金色的波浪。
磨子槽露营地,,5,5,都江堰,813,0%,湖泊的黄昏，夕阳无限好，只是近黄昏。
玖隆福庭,,5,5,都江堰,432,0%,秋日的湖边，湖面波光粼粼，风景如画。
云驿户外露营,,5,5,成都,335,0%,夏夜的星空，繁星点点，如梦如幻。
凝萃楼,,5,5,成都,960,0%,古老的城墙，见证了历史的变迁，依然屹立不倒。
三圣花乡・花乡农居-母亲林,,5,5,成都,611,0%,炎热的沙漠，广袤无垠，生命的顽强。
钟楼,,5,5,成都,699,0%,雨后的彩虹，桥接天地，彩色的希望。
虹瑞桥,,5,5,都江堰,900,0%,春天的樱花，如云似霞，满树繁花。
成都奇宠秘境乐园,,5,4,成都,644,0%,炊烟袅袅，升起在清晨的乡村，带来家的味道。
团建.亲子活动,,5,4,成都,492,0%,山脉的清晨，云雾环绕，如仙境一般。
杭州丝绸馆,,5,4,彭州,743,0%,夏日的河边，垂柳依依，清凉宜人。
青城山六善酒店-会议厅,,5,4,都江堰,916,0%,日出东海，晚归山色，美不胜收。
南峰寺,,5,4,成都,587,0%,秋高气爽的山间，风清气朗，心旷神怡。
星工厂体育公园,,5,4,成都,426,0%,花园中的蝴蝶，翩翩起舞，色彩斑斓。
禹王庙,,5,4,金堂,696,0%,迷雾中的山峰，神秘莫测，引人探索。
弥陀庵,,5,3,成都,910,0%,雨后的彩虹，桥接天地，彩色的希望。
刘慈欣漫画展,,5,3,成都,693,0%,冬季的河流，冰封河面，静谧无声。
应世人间,,5,3,成都,884,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
书画展览区,,5,3,成都,660,0%,湖泊的早晨，轻雾缭绕，宁静致远。
锦秀天宝活动室,,5,3,彭州,815,0%,秋天的田野，稻谷泛黄，金色的波浪。
风车宝岛,,5,3,成都,391,0%,秋天的森林，五彩缤纷，美不胜收。
夜游锦江(石牛堰码头),,5,3,成都,798,0%,山顶的石碑，记录着历史的痕迹，坚固耐久。
船舫,,5,3,成都,476,0%,山林中的小屋，宁静祥和，逃离都市的喧嚣。
幸福梅林,,5,2,成都,59,0%,幸福梅林，成都市新农村建设&quot;五朵金花&quot;之一，国家4A风景区。幸福梅林位于成都市成龙路西段。“幸福梅林”因所处的幸福村而得名。
异诗无人区,,5,2,成都,306,0%,山间的小溪，清澈见底，水声潺潺。
安顺地下党史料馆,,5,2,崇州,587,0%,湖光山色，相映成趣，风景如画。
成都博物馆新馆-一层特展厅,,5,2,成都,859,0%,雪后山村，银装素裹，一片宁静。
蜀艾康养美术馆,,5,2,成都,899,0%,冬日的雪景，白雪皑皑，银装素裹。
直台羌寨,,5,2,邛崃,901,0%,冬季的北国，雪地里的宁静，白雪皑皑。
百花潭公园儿童乐园,,5,2,成都,366,0%,春天的田野，绿草如茵，花开满野。
孩提时光儿童中心,,5,2,成都,929,0%,夜晚的露营地，篝火晚会，温馨而快乐。
杏有灵溪・露营地,,5,1,都江堰,620,0%,夏日的河边，垂柳依依，清凉宜人。
一番全球的网红打卡点,,5,1,成都,978,0%,春天的花丛，花香袭人，色彩斑斓。
宝珠山,,5,1,邛崃,930,0%,沙漠的黄昏，大地与天空同色，壮观迷人。
龙溪虹口国家级自然保护区-山王庙,,5,1,彭州,838,0%,滨海的旅游小镇，悠闲的生活，海的味道。
赵府,,5,1,成都,410,0%,夜晚的星空，满天星斗，宁静深远。
安仁古镇,Anren Ancient Town,4,505,大邑,1,0%,古镇内有建川博物馆和刘氏庄园，还有很多复古老公馆。
成都植物园,Chengdu Botanical Garden,4,298,成都,226,0%,有许多植物和中外珍稀树种，休闲放松的好去处。
温江公园,Wenjiang Park,4,142,成都,374,0%,湖泊的黄昏，夕阳无限好，只是近黄昏。
天师洞道观,Tianshi Cave,4,138,都江堰,13,0%,据说天师道的创始人――张道陵，曾经在这里修炼布道。
水井坊博物馆,Shuijingfang Museum,4,119,成都,160,0%,草地上的野餐，享受自然的馈赠，家人的欢聚。
元通古镇,Yuantong Ancient Town,4,109,崇州,4,0%,夜晚的海滩，海浪拍打，潮声阵阵。
熊猫谷,Panda Valley,4,85,都江堰,7,0%,这里有参加野化训练的熊猫宝宝。
城隍庙,"Town God's Temple, Dujiangyan",4,49,都江堰,38,0%,雨后的林间，空气清新，山色更翠。
蒲江县西来古镇,Xilai Ancient Town,4,47,蒲江,4,0%,野外的篝火，照亮了夜空，温暖伴随。
慧园,Huiyuan Garden,4,38,成都,1,0%,森林里的小径，幽静而神秘，探险者的天堂。
新津区纯阳观博物馆,Chunyang Taoist Temple,4,18,成都,6,0%,露营时的星空，无边无际，宁静致远。
晴天航空飞行体验(都江堰分店),,4,15,都江堰,394,0%,山间的瀑布，水珠飞溅，清凉一夏。
长滩水库,Allied Bank Reservoir,4,15,蒲江,451,0%,春日的樱花，粉嫩花瓣，如云似霞。
金丝楠艺术馆,,4,15,成都,898,0%,远行的船只，在海的尽头消失，留下一片梦幻。
香樟林,,4,15,彭州,464,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
格里戈里库里申科雕塑,,4,15,大邑,531,0%,雨季的绿色，生机勃勃，绿色覆盖大地。
青白江读者生活馆,,4,15,成都,428,0%,沙滩上的日落，大海和夕阳同辉，景色迷人。
鱼凫王墓,,4,15,成都,960,0%,山间的小溪，清澈见底，水声潺潺。
鸦片仓库,,4,15,大邑,884,0%,丘陵上的风车，随风旋转，景色独特。
世纪城新国际会展中心,,4,14,成都,83,0%,成都世纪城新国际会展中心西临人民南路延线天府大道，北靠外环线，东面有蜿蜒而来的锦江河水，北侧紧临世纪公园，东部及西部为河滨绿地。
西南财经大学（柳林校区）,Southwestern University of Finance and Economics,4,14,成都,259,0%,西南财经大学是教育部直属的全国重点大学，国家首批“211工程”大学之一，国家“985工程优势学科创新平台”重点建设高校。
抗日爱国将领刘湘,,4,14,大邑,546,0%,山涧的溪水，清澈见底，泉声叮咚。
文字大面具雕塑,,4,14,成都,454,0%,沙滩上的晚霞，晚霞映红了整个天空，美轮美奂。
张家小院,,4,14,成都,774,0%,海边的沙滩，金黄色的沙粒，在阳光下闪耀。
五观堂,,4,14,成都,651,0%,潮湿的雨林中，瀑布轰鸣，水汽弥漫。
玄月水榭,,4,14,蒲江,871,0%,微风拂过，带来了沁人心脾的花香，令人陶醉。
青杨村湿地公园,,4,14,成都,592,0%,古城的清晨，晨雾笼罩，历史的呼吸。
青龙湖湿地公园-亲水平台,,4,14,成都,979,0%,沙漠中的绿洲，生机勃勃，绿意盎然。
古常道观,,4,14,都江堰,974,0%,山林中的小屋，宁静祥和，逃离都市的喧嚣。
交个朋友・城市露营派对(宽窄店),,4,13,成都,448,0%,海边的船只，迎着晨光启航，希望的旅程。
气乐亭,,4,13,成都,879,0%,公园的秋日，落叶纷飞，金黄一片。
四川军阀混战,,4,13,大邑,596,0%,高峰的岩石，经历风雨的洗礼，坚硬如铁。
尊祖敬宗,,4,13,成都,614,0%,冬季的森林，雪花飘落，银装素裹。
万树山,,4,13,成都,755,0%,远方的群山，层层叠叠，笼罩在薄雾中。
杜甫草堂-梅园,,4,13,成都,469,0%,夜晚的城市，灯火辉煌，如同星辰落入人间。
小蜜蜂梦幻森林乐园,,4,13,蒲江,734,0%,公园的早晨，晨练的人们，生活的节奏。
迷宫花园,,4,13,成都,715,0%,夜晚的灯塔，发出的光芒，引导着远航者。
金龙宫,,4,13,成都,753,0%,山顶的日出，阳光洒满大地，希望的光芒。
文君井,Wenjun Well,4,12,邛崃,231,0%,沙漠的黄昏，大地与天空同色，壮观迷人。
季禅沟,,4,12,大邑,556,0%,雪中的松树，枝头挂满雪花，银白世界。
成都麓山高尔夫-5号凉亭,,4,12,成都,542,0%,高山的夜晚，繁星点点，宁静致远。
成都市双流区彭镇金桥社区革命传统教育基地十二桥烈士纪念碑,,4,12,成都,767,0%,海浪拍岸，发出阵阵响声，激荡人心。
锦城公园3号湖区,,4,12,成都,982,0%,雨中的城市，清新而湿润，洗净尘埃。
花卉展示区,,4,12,成都,402,0%,秋天的森林，五彩缤纷，美不胜收。
四川师范大学,,4,11,成都,221,0%,山间的小溪，潺潺流水，清澈见底。
红军长征在四川纪念馆,,4,11,大邑,387,0%,夜晚的星空，闪烁的星星，璀璨如梦。
鸟类科普之窗,,4,11,成都,651,0%,河畔的春天，绿树成荫，鸟语花香。
都江堰景区-道江楼,,4,11,都江堰,564,0%,秋日的湖边，湖面波光粼粼，风景如画。
阿基米德取水器,,4,11,成都,855,0%,海边的烧烤，美味与欢声笑语，美好的夜晚。
欢乐沙池,,4,11,成都,447,0%,冬季的森林，雪花飘落，银装素裹。
月涧星禾露营餐吧,,4,11,成都,919,0%,星光灿烂，银河横跨夜空，闪烁着光芒。
古老玫瑰园,,4,11,都江堰,816,0%,小道蜿蜒，穿过一片片田野，每一步都是风景。
檀阴村党员活动室,,4,10,邛崃,533,0%,春风拂面，花香四溢，满园春色。
缘定桥,,4,10,邛崃,306,0%,湖边的清晨，水雾弥漫，如梦如幻。
同心树,,4,10,成都,503,0%,晨曦的山峦，阳光洒满山间，光影交错。
岷江,,4,9,成都,772,0%,冬季的河流，冰封河面，静谧无声。
临潭赏鱼,,4,9,成都,743,0%,夏日的河边，垂柳依依，清凉宜人。
大型乌木(金沙遗址),,4,9,成都,975,0%,冬季的河流，冰封河面，静谧无声。
拾野・自然博物馆,,4,9,成都,537,0%,冬季的雪景，银装素裹，世界变得宁静。
河畔湿地,,4,9,成都,685,0%,河畔的夜晚，月光下的河流，静谧而美丽。
混元宫,,4,9,大邑,392,0%,海边的椰树，随风摇曳，风情万种。
安妮花阅读馆(成都大魔方招商花园城店),,4,8,成都,513,0%,冬季的北国，雪地里的宁静，白雪皑皑。
澄园,,4,8,成都,546,0%,河岸的石头，经过水流的冲刷，光滑如镜。
蔚然花海-听花露营营地,,4,8,成都,721,0%,傍晚的晚霞映红了半边天，如同烈火焚烧。
花溪观鱼,,4,8,成都,654,0%,微风拂过，带来了沁人心脾的花香，令人陶醉。
熊山-亚洲黑熊,,4,8,成都,514,0%,山间的早晨，清新的空气，鸟语花香。
茅台镇文化馆,,4,8,成都,444,0%,古镇的夜市，热闹非凡，人声鼎沸。
米贝精灵儿童图书馆(万达广场武侯店),,4,8,成都,624,0%,潮湿的海滩，细软的沙粒，海浪的歌声。
清水沟,,4,8,都江堰,826,0%,傍晚的晚霞映红了半边天，如同烈火焚烧。
观澜亭,,4,8,都江堰,781,0%,雨后的山谷，清新脱俗，空气湿润。
THE FOG(迷雾)露营地,,4,7,大邑,961,0%,夏夜的星空，繁星点点，如梦如幻。
地震室外展场,,4,7,大邑,544,0%,寒冷的冬日，暖阳透过云层，温暖如春。
绿兔子城市动物园,,4,7,成都,404,0%,山顶的云海，云蒸霞蔚，如在仙境。
笼门阵,,4,7,都江堰,823,0%,海浪拍岸，发出阵阵响声，激荡人心。
宝成寺,,4,7,崇州,855,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
西园文化长廊,,4,6,成都,693,0%,湿地上的芦苇，随风摇曳，生态丰富。
走亲共反蒋道路,,4,6,大邑,504,0%,海浪拍岸，发出阵阵响声，激荡人心。
佛堂,,4,6,成都,573,0%,秋日的湖边，湖面波光粼粼，风景如画。
石瀑布溯溪,,4,6,大邑,951,0%,河流在城市中穿行，像一条闪亮的丝带。
成都动物园-科普馆,,4,6,成都,861,0%,冬季的河流，冰封河面，静谧无声。
桌山花栖谷(武侯展厅),,4,6,成都,714,0%,湖边的清晨，水雾弥漫，如梦如幻。
明成景观,,4,6,成都,805,0%,高山上的日落，晚霞如火，壮丽无比。
古瓮亭,,4,6,邛崃,561,0%,沙滩上的日落，大海和夕阳同辉，景色迷人。
草药之魂,,4,5,金堂,857,0%,早晨的海面，日光照射，波光粼粼。
天天见活动室,,4,5,蒲江,890,0%,海边的晨光，海浪轻拍，阳光金灿。
欢乐生产大队农耕体验区,,4,5,成都,346,0%,冬季的河流，冰封河面，静谧无声。
棕榈世界房车露营地4号营地,,4,5,成都,422,0%,雨季的绿色，生机勃勃，绿色覆盖大地。
西郊河,,4,5,成都,350,0%,雨中的街道，雨滴跳跃，清新洗净。
万寿寺,,4,5,都江堰,610,0%,古木参天，枝繁叶茂，为这片土地披上了绿装。
缘定三生,,4,5,成都,982,0%,冬季的枯藤老树，虽然萧索，却有一番风味。
汾河外滩,,4,5,成都,888,0%,平原上的稻田，金黄一片，秋季的收获。
熊猫亭,,4,5,都江堰,956,0%,雪中的松树，枝头挂满雪花，银白世界。
中央湖区,,4,4,成都,438,0%,夜晚的星空，满天星斗，宁静深远。
狮子山望归台,,4,4,崇州,730,0%,冬日的雪景，白雪皑皑，银装素裹。
四川政协文史馆,,4,4,成都,636,0%,梅雨季节的竹林，绿意盎然，雨滴点点。
汐谷云居花卉文化村,,4,4,成都,541,0%,秋日的背包旅行，发现未知的美，丰富旅程。
桂香厅,,4,4,大邑,793,0%,冬日里的暖阳，温暖如春，驱散寒冷。
银杏生态园,,4,4,金堂,793,0%,晨曦的山峦，阳光洒满山间，光影交错。
四川省高等学校重点实验室生态植物园,,4,4,成都,814,0%,露营地旁的篝火，热烈燃烧，温暖人心。
平原史前城址,,4,3,成都,369,0%,成都平原史前城址包括四川省新津县龙马乡的宝墩古城址、郫县古城乡的郸县古城址、温江县万春镇的鱼凫古城址、都江堰市青城乡的芒城古城址、崇州市上元乡的双河古城址及燎原乡的紫竹古城址等，是迄今所知中国西南地区发现年代最早、规模最大、分布最…
抚琴亭,,4,3,成都,988,0%,山谷中的秋色，层林尽染，色彩斑斓。
隐踪高地,,4,3,成都,586,0%,雨后的林间，空气清新，山色更翠。
2区亲子阅读空间,,4,3,成都,420,0%,湖面平静如镜，倒映着周围的山色和天空。
奇梦彩灯节,,4,3,成都,351,0%,夜晚的星空，满天星斗，宁静深远。
蓉森二手展场,,4,3,成都,612,0%,晚霞满天，如火如荼，映红了半边天空。
河滨公园,,4,3,金堂,638,0%,梦幻的海岛，碧海蓝天，美不胜收。
西部茶都蒲江茶产业展示中心,,4,2,蒲江,666,0%,夏日的泳池，清凉解暑，水中乐趣。
金堂乐耍水上乐园,,4,2,金堂,573,0%,海边的晨光，海浪轻拍，阳光金灿。
龙湖观辰,,4,2,成都,775,0%,高山之巅，空气清新，视野开阔。
环卫工人休息室,,4,2,成都,550,0%,湖光山色，相映成趣，风景如画。
青杠树牌坊,,4,2,成都,545,0%,秋日的湖边，湖面波光粼粼，风景如画。
红原牦牛之乡・旅游天堂,,4,2,成都,691,0%,春日的樱花，粉嫩花瓣，如云似霞。
英佳艾绘本馆,,4,2,成都,671,0%,夏日的河边，垂柳依依，清凉宜人。
土溪河谷农场露营地,,4,2,都江堰,491,0%,河畔的垂柳，轻拂水面，添了几分柔情。
凝神湖,,4,1,成都,921,0%,湖光山色间的小舟，缓缓行驶，悠闲自得。
中国民主革命先行者孙中山,,4,1,成都,669,0%,高山流水，回荡着清脆的琴声，悠扬入耳。
熊猫社群,,4,1,成都,678,0%,滑雪场的冬日，雪地里的速度与激情，寒冷中的热情。
柏邻公园锦炉溪营地,,4,1,成都,817,0%,古老的石桥，连接两岸，历史的见证。
蔚然花海房车营地,,4,1,成都,617,0%,雨后的彩虹桥，连接着两岸，象征着希望。
玉垒阁,Yulei Pavilion,3,559,都江堰,48,0%,热带雨林的午后，热气腾腾，生机勃勃。
中国泰迪熊博物馆,China Teddy Bear Museum,3,541,成都,11,0%,全球最大的泰迪熊博物馆，处处都有泰迪熊可爱的身影。
街子古镇,Jiezi Ancient Town,3,460,崇州,1,1%,依山傍水的古镇，还有光严禅院内珍藏的佛门珍宝“洪武南藏”。
成都川菜博物馆,Chuancais Museum,3,296,成都,6,0%,唯一以菜系文化为陈列内容的主题博物馆，吃货们的必去之地。
天府熊猫塔,Sichuan Tower of China,3,285,成都,132,0%,秋天的公园，银杏叶黄，铺满一地黄金。
白鹿音乐小镇,Bailu Town,3,180,彭州,65,0%,充满法式风情的小镇，体验异域风情的好去处。
棠湖公园,Tanghu Park (North Gate),3,134,成都,258,0%,寒冷的冬日，暖阳透过云层，温暖如春。
又一村,Yau Yat Chuen,3,36,都江堰,45,0%,青城后山的一个村镇，可以歇歇脚，吃吃农家菜。
回澜塔,"Huilan Tower, Qionglai",3,35,邛崃,8,0%,星光点点，夜空深邃，宁静而深远。
卧铁,Lying Iron Pole,3,30,都江堰,26,0%,山涧的溪水，清澈见底，泉声叮咚。
陈家桅杆,Manor of Chan family,3,19,成都,50,0%,山脚的小村庄，宁静祥和，远离喧嚣。
成都乌木艺术博物馆,Chengduwumuyishu Museum,3,17,都江堰,50,0%,秋风的午后，微风送爽，落叶飘飘。
文天祥雕塑,,3,15,成都,449,0%,冬日的雪景，白雪皑皑，银装素裹。
熊猫基地站,,3,15,成都,859,0%,夜晚的海滩，海浪拍打，潮声阵阵。
凤溪隐院,,3,15,成都,466,0%,河流在城市中穿行，像一条闪亮的丝带。
桑巴气球,,3,15,成都,924,0%,秋日的阳光，温暖而柔和，金黄色的光线洒在大地上。
元通惜字宫广场,,3,15,崇州,456,0%,海边的日落，余晖洒满海面，金光闪闪。
都江堰野沙滩,,3,14,都江堰,695,0%,河畔的垂柳，轻拂水面，添了几分柔情。
青塔寺河边桃园,,3,14,成都,623,0%,雨后的彩虹桥，连接着两岸，象征着希望。
海棠园,,3,14,成都,810,0%,小桥流水，人家更显得安详宁静。
约瑟夫史迪威雕塑,,3,14,大邑,351,0%,雨后的林间，空气清新，山色更翠。
响叮铛儿童乐园,,3,14,成都,567,0%,秋高气爽的山间，风清气朗，心旷神怡。
成都飞马,,3,14,成都,704,0%,夜晚的露营地，篝火晚会，温馨而快乐。
